timestamp	inserts_total	inserts_failed_total	buffer_overflows_total	any_container_restarted	non_watchdog_alerts_firing	db_size_mb
2026-08-14T04:50:14Z	604	0	0	no	1	26
2026-08-14T05:05:14Z	1324	0	0	no	1	27
2026-08-14T05:51:52Z	NaN	0	0	yes	0	28
2026-08-14T06:05:14Z	604	0	0	no	1	28
2026-08-14T06:20:14Z	1324	0	0	no	1	30
2026-08-14T06:35:14Z	2044	0	0	no	1	30
2026-08-14T06:50:15Z	2764	0	0	no	1	31
2026-08-14T07:05:14Z	3484	0	0	no	0	32
2026-08-14T07:20:14Z	4204	0	0	no	0	33
