factory_twin_asset_id,zone,room,equipment_name,equipment_type,equipment_id,physical_asset_id,serial_number,manufacturer,model,device_id,plc_scada_mes_identifier,source_system,source_record,verification_method,verified_at,verifier_or_process,mapping_status,spatial_status,identity_confidence
EQP-F1-0049,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0050,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0051,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0052,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0053,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0054,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0055,,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0056,,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0057,,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0058,,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0059,,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0060,,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0061,,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0062,FZ-F1-0016,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0063,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0064,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0065,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0066,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0067,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0068,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0069,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0070,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0071,FZ-F1-0002,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0072,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0073,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0074,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0075,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0076,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0077,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0078,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0079,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0080,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0081,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0082,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0083,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0084,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0085,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0086,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0087,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0088,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0089,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0090,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0091,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0092,FZ-F1-0016,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0093,FZ-F1-0036,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
